,Title,Author,Publication Date
136,It's in His Kiss (Bridgerton Series #7) (With 2nd Epilogue),by Julia Quinn, (03/28/2017)
137,The Song of Achilles,by Madeline Miller, (08/28/2012)
138,On the Way to the Wedding (Bridgerton Series #8) (With 2nd Epilogue),by Julia Quinn, (04/25/2017)
139,The Sanatorium,by Sarah Pearse, (02/02/2021)
140,When He Was Wicked (Bridgerton Series #6) (With 2nd Epilogue),by Julia Quinn, (02/28/2017)
141,A Court of Wings and Ruin (A Court of Thorns and Roses Series #3),by Sarah J. Maas, (06/02/2020)
142,"Jujutsu Kaisen, Vol. 4",by Gege Akutami, (06/02/2020)
143,The Midnight Library,by Matt Haig, (09/29/2020)
144,We Were Liars,by E. Lockhart, (05/29/2018)
145,"Four Hundred Souls: A Community History of African America, 1619-2019",by Ibram X. Kendi, (02/02/2021)
146,The Invisible Life of Addie LaRue,by V. E. Schwab, (10/06/2020)
147,"Horimiya, Vol. 3",by HERO, (04/26/2016)
148,"Horimiya, Vol. 2",by HERO, (01/26/2016)
149,"Jujutsu Kaisen, Vol. 6",by Gege Akutami, (10/06/2020)
150,Think Again: The Power of Knowing What You Don't Know (Signed Book),by Adam Grant, (02/02/2021)
151,A Court of Mist and Fury (A Court of Thorns and Roses Series #2),by Sarah J. Maas, (06/02/2020)
152,"Jujutsu Kaisen, Vol. 1",by Gege Akutami, (12/03/2019)
153,"Jujutsu Kaisen, Vol. 5",by Gege Akutami, (08/04/2020)
154,A Court of Frost and Starlight (A Court of Thorns and Roses Series),by Sarah J. Maas, (06/02/2020)
155,Chain of Iron,by Cassandra Clare, (03/02/2021)
156,"Demon Slayer: Kimetsu no Yaiba, Vol. 8",by Koyoharu Gotouge, (09/03/2019)
157,The Paris Library,by Janet Skeslien Charles, (02/09/2021)
158,"What It's Like to Be a Bird: From Flying to Nesting, Eating to Singing--What Birds Are Doing, and Why",by David Allen Sibley, (04/14/2020)
